"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Department of Small Business Services","Non-Governmental Grants","POLLUTION REMIDIATION-BOND SALES","General Fund","OTHER CATEGORICAL","NONGOVT GRANTS-OTHER","2011","2011","","","17869490","Collected Revenue"
"2","Department of Small Business Services","CHARGES FOR SERVICES","RENTALS:  OTHER","General Fund","CITY FUNDS","RENTAL INCOME","2011","2011","","","12500000","Collected Revenue"
"3","Department of Small Business Services","MISCELLANEOUS","SUNDRIES","General Fund","CITY FUNDS","MISCELLANEOUS","2011","2011","","","12196222","Collected Revenue"
"4","Department of Small Business Services","MISCELLANEOUS","SUNDRIES","General Fund","CITY FUNDS","MISCELLANEOUS","2011","2011","","","11011085","Collected Revenue"
"5","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","9009799.44","Collected Unearned Revenue Roll"
"6","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","8941303.04","Collected Unearned Revenue Roll"
"7","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","8785177.92","Collected Unearned Revenue Roll"
"8","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","8499901.44","Collected Unearned Revenue Roll"
"9","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5862617.16","Collected Unearned Revenue Roll"
"10","Department of Small Business Services","State Grants-Categorical","HOLDING ACCT UNALLOC STE RECPT","General Fund","STATE","HOLDING ACCT-UNDISTRBTED CASH","2011","2011","","","5609811.47","Collected Unearned Revenue Roll"
