"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","136901997","136901997","100174684.27","Collected Revenue"
"2","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","136901997","136901997","29319299.09","Collected Revenue"
"3","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","0","23364642","23364642","Billed Revenue"
"4","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","22946705.5","Collected Unearned Revenue Roll"
"5","Department of Youth and Community Development","State Grants and Contracts-Categorical","TRANSITIONAL INDEPENDENT LIVIN","General Fund","STATE","YOUTH","2022","2022","571614","571614","9248562.52","Collected Unearned Revenue Roll"
"6","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8538013","Collected Unearned Revenue Roll"
"7","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8538013","Collected Unearned Revenue Roll"
"8","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8493723.25","Collected Unearned Revenue Roll"
"9","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8493723.25","Collected Unearned Revenue Roll"
"10","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8333801","Billed Revenue"
"11","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8200352","Billed Revenue"
"12","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2023","0","23364642","8177625","Collected Revenue"
"13","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","0","23364642","8177625","Collected Unearned Revenue Roll"
"14","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","0","23364642","8177625","Collected Unearned Revenue Roll"
"15","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","8075125.8","Collected Revenue"
"16","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","7139080","Collected Revenue"
"17","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","7139080","Billed Revenue"
"18","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","37402718","7036484","Unbilled Revenue"
"19","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","6934868","Collected Revenue"
"20","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","4743379","Collected Revenue"
"21","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","4743379","Billed Revenue"
"22","Department of Youth and Community Development","CHARGES FOR SERVICES","EDUCATION SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","136901997","136901997","4120152.15","Collected Revenue"
"23","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2023","16541104","17740249","4082881","Collected Revenue"
"24","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","W.I.A. OUT OF SCHOOL YOUTH","General Fund","FEDERAL - OTHER","LABOR","2022","2022","16541104","17740249","4082881","Billed Revenue"
"25","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2022","2023","3930745","4968487","3636933","Collected Revenue"
"26","Department of Youth and Community Development","State Grants and Contracts-Categorical","STATE AID FOR YOUTH SERVICES","General Fund","STATE","YOUTH","2022","2022","3930745","4968487","3636933","Billed Revenue"
"27","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2023","0","23364642","3504696","Collected Unearned Revenue Roll"
"28","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2023","0","23364642","3504696","Collected Revenue"
"29","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","0","23364642","3504696","Collected Unearned Revenue Roll"
"30","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","0","23364642","3504696","Collected Unearned Revenue Roll"
"31","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","2755000","2755000","2000000","Collected Revenue"
"32","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","CHILD AND ADULT CARE FOOD PROGRAM","General Fund","FEDERAL - OTHER","AGRICULTURE","2022","2022","0","3910000","2000000","Billed Revenue"
"33","Department of Youth and Community Development","Federal Grants and Contracts-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2022","2022","33482403","35856153","1949622","Billed Revenue"
"34","Department of Youth and Community Development","CHARGES FOR SERVICES","SOCIAL SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2022","2022","1718134","1718134","1718134","Collected Revenue"
