"","agency","revenue_category","revenue_source","fund_class","funding_class","revenue_class","budget_fiscal_year","fiscal_year","adopted","modified","recognized","closing_classification_name"
"1","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","15969060","Collected Unearned Revenue Roll"
"2","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","12782430.14","Collected Unearned Revenue Roll"
"3","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","12620688","Collected Unearned Revenue Roll"
"4","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","12382623","Collected Unearned Revenue Roll"
"5","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","10033830.12","Billed Revenue"
"6","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","8828576.32","Unbilled Revenue"
"7","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","8828576.32","Collected Revenue"
"8","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2012","","","8828576.32","Billed Revenue"
"9","Department of Youth and Community Development","Federal Grants-Categorical","TEMPORARY ASSISTANCE FOR NEEDY FAMILIES","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","8543570","Billed Revenue"
"10","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT","General Fund","FEDERAL - OTHER","HEALTH AND HUMAN SERVICES","2011","2011","","","7984531","Collected Unearned Revenue Roll"
"11","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","7879888","Billed Revenue"
"12","Department of Youth and Community Development","Federal Grants-Categorical","COMMUNITY SERVICE BLOCK GRANT-ARRA","General Fund","FEDERAL - OTHER","Health and Human Services","2011","2011","","","7879888","Collected Revenue"
"13","Department of Youth and Community Development","CHARGES FOR SERVICES","OTHER SERVICES/FEES","General Fund","INTRA-CITY SALES","INTRA-CITY CHARGES","2011","2011","","","7706750","Collected Revenue"
